ID,numax,delta_nu,e_delta_nu,epsilon,e_epsilon,alpha,e_alpha,D,e_D,delta_Pi,e_delta_Pi,q,e_q,epsilon_g,e_epsilon_g,f_shift,e_f_shift,Omega_g,e_Omega_g,Omega_p,e_Omega_p,Teff,e_Teff,Lum,e_Lum,Fe/H,e_Fe/H,mass,e_mass,radius,e_radius,inclination,e_inclination,linewidth0,e_linewidth0,age,e_age,ruwe
KIC7367324,211.26,16.232947,0.012319,0.32041,0.009559,0.009992,0.000773,0.332339,0.007158,85.246378,0.029479,0.1675,0.002365,0.797145,0.018598,0.658591,0.023312,2.281583,0.073524,0.458465,0.10747,4974.3,83.45,1.008,0.0145,-0.223,0.0115,1.22,0.06,4.38,0.08,78.592311,3.120329,0.074152,0.008679,9.195,1.1405,1.497222
KIC7367560,154.83468,13.151316,0.011866,0.25679,0.01131,0.004477,0.000959,0.308426,0.004768,82.87024,0.023288,0.155698,0.00275,0.242999,0.021425,0.759826,0.018203,6.532529,0.083298,-0.040781,0.111714,4929,88.35,1.08,0.0545,-0.318,0.009,0.93,0.06,4.53,0.1,27.456018,1.6729,0.040121,0.003756,9999,9999,1.050002
KIC7368013,90.467832,7.929549,0.009404,0.104409,0.013334,0.011082,0.001078,0.182915,0.005483,72.18554,0.018278,0.110263,0.004574,0.076637,0.03858,0.507998,0.02298,9.349421,0.031014,-0.122697,0.081879,4677.5,92.85,1.411,0.3715,0.024,-0.0065,1.44,0.07,7.44,0.14,69.757707,1.489718,0.093784,0.016583,3.551,0.6715,1.007226
KIC7369792,75.894105,7.572489,0.017062,0.11764,0.022604,0.005951,0.002555,0.1837,0.005522,72.025708,0.026826,0.126159,0.006776,0.009625,0.070055,0.487193,0.027786,4.500953,0.041093,-0.010739,0.117079,4876.8,86.5,1.389,0.3875,-0.581,0.0065,1.21,0.08,7.29,0.16,80.027118,5.827132,0.085423,0.020862,9999,9999,1.006682
KIC7375225,138.41781,10.926677,0.010062,0.228314,0.012539,0.005512,0.000632,0.240164,0.004641,77.249436,0.022686,0.123554,0.002173,0.228873,0.026813,0.563684,0.016604,8.426003,0.049585,-0.050232,0.084026,4776.1,84.55,1.18,0.102,0.148,0.019,1.44,0.07,5.99,0.1,9999,9999,9999,9999,2.828,0.611,1.069263
KIC7376259,108.045944,9.47061,0.007398,0.107717,0.00895,0.007221,0.000865,0.202583,0.00439,75.197998,0.01611,0.125581,0.00285,0.266726,0.025647,0.569814,0.017578,4.73443,0.030333,0.262816,0.087344,4801.6,86.7,1.318,0.2705,0.032,-0.017,1.25,0.06,6.32,0.11,54.239284,1.974508,0.060199,0.007001,6.385,0.911,0.913737
KIC7376659,115.403867,10.137149,0.008068,0.176523,0.009435,0.005461,0.000803,0.228018,0.004826,77.568273,0.015212,0.135174,0.00264,0.223733,0.02062,0.706996,0.020992,4.216309,0.05117,0.231353,0.103596,4858,110.25,1.24,0.2875,-0.062,0.021,1.13,0.05,5.83,0.1,21.327263,1.683408,0.056746,0.008541,8.68,1.0815,1.156885
KIC7377547,213.31,16.525511,0.013282,0.400332,0.011048,0.001582,0.001396,0.344366,0.005552,89.164732,0.021713,0.157583,0.001213,0.242296,0.013003,0.727886,0.019922,4.383718,0.044716,0.091721,0.074372,4718,76.45,0.729,0.025,0.152,0.007,1.02,0.07,4.04,0.1,64.531059,1.658771,0.054242,0.006168,8.303,1.1915,2.194853
KIC7381495,147.358107,12.596376,0.011654,0.269001,0.011165,0.003203,0.001057,0.28534,0.005308,82.283186,0.014608,0.146289,0.001678,0.253349,0.0147,0.749217,0.017817,5.336266,0.031801,0.100435,0.071868,4885.7,94.5,1.105,0.0135,-0.065,-0.0065,1.02,0.06,4.86,0.11,66.843922,1.40845,0.054952,0.004249,9999,9999,0.966246
KIC7387808,122.676262,9.892216,0.006088,0.135892,0.008408,0.004903,0.000746,0.196934,0.004771,75.007547,0.018765,0.106315,0.002546,0.285994,0.027581,0.606873,0.01914,4.182579,0.034346,0.096332,0.063912,4751.2,92.4,1.258,0.104,-0.014,-0.0045,1.49,0.09,6.49,0.14,87.408441,1.022213,0.070863,0.005997,9999,9999,0.838193
KIC7417126,85.823726,8.206118,0.009764,0.098879,0.013116,0.009869,0.001082,0.191594,0.004723,74.259754,0.022143,0.117153,0.007195,0.282893,0.046196,0.458599,0.022299,9999,9999,9999,9999,4700.1,86.35,1.267,0.2405,-0.009,0.017,1.22,0.09,6.93,0.18,9999,9999,9999,9999,9999,9999,0.995551
KIC7418076,96.844417,9.150055,0.01415,0.137602,0.016881,0.009175,0.001401,0.225924,0.005479,75.768119,0.02967,0.141107,0.004251,0.227484,0.049561,0.60287,0.025002,6.98161,0.045776,0.267973,0.120995,4846.3,87.6,1.246,0.214,-0.332,-0.0105,1.24,0.08,6.52,0.14,39.26661,2.168358,0.066186,0.008955,9999,9999,1.004516
